"distance","name","rating","url","phone"
304.5885147392783,"Siroc Restaurant",4,"http://www.yelp.com/biz/siroc-restaurant-washington","2026282220"
251.21200449543258,"Zentan Restaurant",3.5,"http://www.yelp.com/biz/zentan-restaurant-washington","2023794366"
254.70227147842212,"DC Coast",3.5,"http://www.yelp.com/biz/dc-coast-washington-2","2022165988"
262.3692317882666,"Plume",4,"http://www.yelp.com/biz/plume-washington","2024482322"
128.92208073287435,"Lincoln",3.5,"http://www.yelp.com/biz/lincoln-washington","2023869200"
284.58628792310043,"Georgia Brown's Restaurant",3.5,"http://www.yelp.com/biz/georgia-browns-restaurant-washington","2023934499"
128.92208073287435,"Mio Restaurant",3.5,"http://www.yelp.com/biz/mio-restaurant-washington","2029550075"
387.6779205334926,"Nage",3.5,"http://www.yelp.com/biz/nage-washington","2024488005"
458.3127335800228,"Birch & Barley",4,"http://www.yelp.com/biz/birch-and-barley-washington","2025672576"
451.1884661900923,"Thai Tanic Restaurant",3.5,"http://www.yelp.com/biz/thai-tanic-restaurant-washington","2025881795"
113.6476413250167,"The Federalist",3.5,"http://www.yelp.com/biz/the-federalist-washington","2025872629"
281.71325383322926,"Elizabeth's Gone Raw",4.5,"http://www.yelp.com/biz/elizabeths-gone-raw-washington","2023478349"
423.6953525810105,"BLT Steak",4,"http://www.yelp.com/biz/blt-steak-washington","2026898999"
446.64888937651386,"The Pig",4,"http://www.yelp.com/biz/the-pig-washington-2","2022902821"
418.9914736516149,"Bobby Van's Steakhouse",3,"http://www.yelp.com/biz/bobby-vans-steakhouse-washington","2025890060"
476.1433991355009,"The Grist Mill",3.5,"http://www.yelp.com/biz/the-grist-mill-washington","2027837800"
256.97753845476825,"Lima Restaurant & Lounge",3,"http://www.yelp.com/biz/lima-restaurant-and-lounge-washington","2027892800"
257.14453293946644,"Bangkok One",2.5,"http://www.yelp.com/biz/bangkok-one-washington","2023936277"
407.9421890666133,"15 Ria",2.5,"http://www.yelp.com/biz/15-ria-washington","2027420015"
265.8411152044303,"Fujimar",3.5,"http://www.yelp.com/biz/fujimar-washington","2027892800"
716.0775944868593,"Komi",4.5,"http://www.yelp.com/biz/komi-washington","2023329200"
191.40837495601204,"Casa Blanca Restaurant",3,"http://www.yelp.com/biz/casa-blanca-restaurant-washington","2023934430"
518.9230820947629,"The Bombay Club",4,"http://www.yelp.com/biz/the-bombay-club-washington","2026593727"
150.12964501274985,"DC Thai",3.5,"http://www.yelp.com/biz/dc-thai-washington","2026390303"
434.2428864691159,"iCi Urban Bistro",4,"http://www.yelp.com/biz/ici-urban-bistro-washington","2027308700"
150.12964501274985,"Hunan Palace",1.5,"http://www.yelp.com/biz/hunan-palace-washington","2024648888"
454.7663081886956,"No Ten Thomas",3,"http://www.yelp.com/biz/no-ten-thomas-washington","2028421300"
315.47933272317374,"Bar-Cöde",3.5,"http://www.yelp.com/biz/bar-c%C3%B6de-washington-2","2029559001"
306.94566162034664,"14 K Restaurant & Lounge",3,"http://www.yelp.com/biz/14-k-restaurant-and-lounge-washington","2022187575"
460.09093593838304,"Teak Wood",3.5,"http://www.yelp.com/biz/teak-wood-washington","2022901856"
514.4512611655116,"Equinox Restaurant",4,"http://www.yelp.com/biz/equinox-restaurant-washington","2023318118"
417.6789724058772,"Fojol Bros. of Benethiopia",4,"http://www.yelp.com/biz/fojol-bros-of-benethiopia-washington",undefined
389.16604674050444,"The Indian Experience",2.5,"http://www.yelp.com/biz/the-indian-experience-washington","2022967640"
205.15680850387196,"Korean Food Cart",4,"http://www.yelp.com/biz/korean-food-cart-washington-2",undefined
561.6860004577894,"The Oval Room",3.5,"http://www.yelp.com/biz/the-oval-room-washington-2","2024638700"
321.0357448941632,"P.J. Clarke's",3,"http://www.yelp.com/biz/p-j-clarkes-washington","2024636610"
396.3860892579911,"Ascot Restaurant",3.5,"http://www.yelp.com/biz/ascot-restaurant-washington","2022967640"
403.09988036748183,"Beacon Bar and Grill",3,"http://www.yelp.com/biz/beacon-bar-and-grill-washington","2028721126"
457.66461971179376,"B Too",3,"http://www.yelp.com/biz/b-too-washington-2","2026272800"
377.0046917684949,"McCormick & Schmick's",3,"http://www.yelp.com/biz/mccormick-and-schmicks-washington-2","2028612233"
239.81114999061603,"Chix",4,"http://www.yelp.com/biz/chix-washington-2","2026822449"
147.58210062324702,"The University Club of Washington DC",4,"http://www.yelp.com/biz/the-university-club-of-washington-dc-washington","2028628800"
654.7259955608666,"Ceiba",4,"http://www.yelp.com/biz/ceiba-washington-2","2023933983"
559.3176617279806,"Cafe Mozart",4,"http://www.yelp.com/biz/cafe-mozart-washington","2023475732"
466.8461709376144,"Tuscana West",2.5,"http://www.yelp.com/biz/tuscana-west-washington","2022897300"
720.4806522183723,"Little Serow",4,"http://www.yelp.com/biz/little-serow-washington",undefined
410.06122169744344,"Avenue Cafe & Lounge",2.5,"http://www.yelp.com/biz/avenue-cafe-and-lounge-washington","2024832000"
165.75229182725747,"Cafe Mediterranean",4,"http://www.yelp.com/biz/cafe-mediterranean-washington","2023477406"
160.2483780553248,"Stan's Restaurant & Bar",3.5,"http://www.yelp.com/biz/stans-restaurant-and-bar-washington","2023474488"
652.008450902094,"Estadio",4,"http://www.yelp.com/biz/estadio-washington","2023191404"
450.99395745172023,"Tsunami Sushi & Lounge",3,"http://www.yelp.com/biz/tsunami-sushi-and-lounge-washington","2025885889"
478.98788440198877,"Woodward Table",3.5,"http://www.yelp.com/biz/woodward-table-washington","2023475353"
262.3692317882666,"Quill",4.5,"http://www.yelp.com/biz/quill-washington","2024482300"
614.7628071839943,"Lalibela Restaurant",3.5,"http://www.yelp.com/biz/lalibela-restaurant-washington","2022655700"
167.74565181531347,"Juice Joint Café",4.5,"http://www.yelp.com/biz/juice-joint-caf%C3%A9-washington-2","2023476783"
570.950494180906,"Oceanaire Seafood Room",3.5,"http://www.yelp.com/biz/oceanaire-seafood-room-washington-2","2023472277"
705.6555388259605,"Sushi Taro",4,"http://www.yelp.com/biz/sushi-taro-washington","2024628999"
458.3127335800228,"Ghana Cafe",3.5,"http://www.yelp.com/biz/ghana-cafe-washington","2023873845"
685.7297880801951,"Bua Restaurant",3.5,"http://www.yelp.com/biz/bua-restaurant-washington","2022650828"
346.5818614311758,"Roti Mediterranean Grill",3.5,"http://www.yelp.com/biz/roti-mediterranean-grill-washington-7","2024992091"
451.85065076746275,"La Villa",3.5,"http://www.yelp.com/biz/la-villa-washington","2022324114"
170.87354596512765,"Cosi",2.5,"http://www.yelp.com/biz/cosi-washington-6","2026398999"
667.6378318609377,"Heritage India",3.5,"http://www.yelp.com/biz/heritage-india-washington-2","2023877400"
322.2423025793452,"City Place Cafe",4,"http://www.yelp.com/biz/city-place-cafe-washington","2024664665"
476.1433991355009,"Great American Grill",3.5,"http://www.yelp.com/biz/great-american-grill-washington","2027837800"
256.4943994618086,"City Buffet Restaurant",2.5,"http://www.yelp.com/biz/city-buffet-restaurant-washington","2028981698"
419.46823975589996,"Lighter Restaurant",2.5,"http://www.yelp.com/biz/lighter-restaurant-washington","2028427488"
169.27721061229514,"Grill Kabob",3.5,"http://www.yelp.com/biz/grill-kabob-washington-2","2023476460"
458.2927176025216,"BlackFinn",3,"http://www.yelp.com/biz/blackfinn-washington","2024294350"
371.0812754699124,"Au Bon Pain",3.5,"http://www.yelp.com/biz/au-bon-pain-washington-7","2028422467"
333.31737693313283,"Potbelly Sandwich Shop",3.5,"http://www.yelp.com/biz/potbelly-sandwich-shop-washington-16","2024638111"
149.7892236015132,"King of Kabob",2.5,"http://www.yelp.com/biz/king-of-kabob-washington","2027375464"
227.37360687760636,"Pedro and Vinny's",4,"http://www.yelp.com/biz/pedro-and-vinnys-washington","5712371875"
381.6775262453922,"Maddy's Taproom",3.5,"http://www.yelp.com/biz/maddys-taproom-washington","2024085500"
588.9147167863005,"Commissary",3.5,"http://www.yelp.com/biz/commissary-washington","2022990018"
304.75785679984796,"Pizza Autentica",3,"http://www.yelp.com/biz/pizza-autentica-washington-2","2028981480"
185.32873971144613,"Sizzling Express",2,"http://www.yelp.com/biz/sizzling-express-washington-2","2024081234"
443.9837928585475,"Ooh Dat Chicken",4.5,"http://www.yelp.com/biz/ooh-dat-chicken-washington","7037985663"
346.5818614311758,"Chop't Creative Salad Company",3,"http://www.yelp.com/biz/chopt-creative-salad-company-washington-9","2026880333"
121.07412492772542,"Subway",3.5,"http://www.yelp.com/biz/subway-washington-46","2028986393"
419.46823975589996,"Five Guys Burgers and Fries",3.5,"http://www.yelp.com/biz/five-guys-burgers-and-fries-washington-2","2024503412"
163.85578073829993,"Zoup!",3,"http://www.yelp.com/biz/zoup-washington","2026829687"
615.7597783078164,"Logan Tavern",3.5,"http://www.yelp.com/biz/logan-tavern-washington","2023323710"
225.53256725157473,"Point Chaud Café & Crêpes",3.5,"http://www.yelp.com/biz/point-chaud-caf%C3%A9-and-cr%C3%AApes-washington-3","2027830304"
266.7898724814441,"Corner Bakery",3,"http://www.yelp.com/biz/corner-bakery-washington","2028985704"
367.70794466072357,"Sunrise Cafe",3.5,"http://www.yelp.com/biz/sunrise-cafe-washington","2024630032"
485.25130480535546,"The Lafayette At The Hay Adams",4,"http://www.yelp.com/biz/the-lafayette-at-the-hay-adams-washington","2026382570"
353.48069864164415,"The Park At Fourteenth",3.5,"http://www.yelp.com/biz/the-park-at-fourteenth-washington","2027377275"
209.19978359591755,"TJ's Gourmet Deli",3.5,"http://www.yelp.com/biz/tjs-gourmet-deli-washington","2028980777"
262.3692317882666,"The Greenhouse",3,"http://www.yelp.com/biz/the-greenhouse-washington-2","2024482300"
447.37949758072733,"Devon & Blakely",3.5,"http://www.yelp.com/biz/devon-and-blakely-washington-2","2028423180"
