"name","canonicalUrl","verified","url"
"Barcode Restaurant, Bar and Lounge","https://foursquare.com/v/barcode-restaurant-bar-and-lounge/4ba21ba0f964a52033dc37e3",true,"http://www.barcodedc.com"
"Lima Restaurant & Lounge","https://foursquare.com/v/lima-restaurant--lounge/45337bb5f964a520893b1fe3",false,"http://www.limarestaurant.com"
"Stan's Restaurant & Lounge","https://foursquare.com/v/stans-restaurant--lounge/40b13b00f964a52045f31ee3",false,undefined
"Mio Restaurant","https://foursquare.com/v/mio-restaurant/4b1fe10ff964a520262a24e3",true,"http://www.miorestaurant.com"
"Fujimar Restaurant","https://foursquare.com/v/fujimar-restaurant/4f260dfbe4b0717a6a171687",true,"http://www.fujimardc.com"
"14K Restaurant & Lounge","https://foursquare.com/v/14k-restaurant--lounge/4b1fe701f964a520862a24e3",true,"http://www.14krestaurant.com"
"Thai Tanic Restaurant","https://foursquare.com/v/thai-tanic-restaurant/4a90346cf964a520891620e3",false,"http://thaitanicrestaurant.webs.com"
"Panache Restaurant","https://foursquare.com/v/panache-restaurant/454a1734f964a5209f3c1fe3",false,"http://www.panacherestaurant.com"
"Loeb's Restaurant","https://foursquare.com/v/loebs-restaurant/4f4373e619834bc91f56f42a",false,"http://loebsnydeli.com"
"Lafayette Restaurant","https://foursquare.com/v/lafayette-restaurant/4e4e534cbd4101d0d7a7c47c",false,"http://www.hayadams.com"
"Harvest Restaurant","https://foursquare.com/v/harvest-restaurant/4f327edc19836c91c7dd689c",false,undefined
"La Villa Restaurant","https://foursquare.com/v/la-villa-restaurant/4b33c33df964a520b11e25e3",false,undefined
"McCormick & Schmick's Seafood Restaurant (K Street)","https://foursquare.com/v/mccormick--schmicks-seafood-restaurant-k-street/4aba4ca6f964a520c88020e3",true,"http://www.mccormickandschmicks.com"
"BAO Restaurant & Lounge","https://foursquare.com/v/bao-restaurant--lounge/4b213d32f964a520c83824e3",false,undefined
"Restaurant Association Metropolitan Washington","https://foursquare.com/v/restaurant-association-metropolitan-washington/4da457b1bf22a143d963dbf8",false,undefined
"Sun Vegetarian Restaurant","https://foursquare.com/v/sun-vegetarian-restaurant/4eeee04493add02fcdc7d456",false,undefined
"SouthWest NY Restaurant","https://foursquare.com/v/southwest-ny-restaurant/4c6120a613791b8d912451af",false,undefined
"Risheq Restaurant Consultants","https://foursquare.com/v/risheq-restaurant-consultants/4f32299219836c91c7bc4d7b",false,"http://www.risheqrestaurantconsultants.com"
"Trader Vince Restaurant Equipment","https://foursquare.com/v/trader-vince-restaurant-equipment/4f32190c19836c91c7b59a5b",false,undefined
"No. 10 Thomas Restaurant","https://foursquare.com/v/no-10-thomas-restaurant/4e4e5f78bd4101d0d7a8b6ef",false,undefined
"Kizzwara International Restaurant | Washington","https://foursquare.com/v/kizzwara-international-restaurant--washington/50a8844be4b007904b480549",false,undefined
"The Heights Restaurant & Bar","https://foursquare.com/v/the-heights-restaurant--bar/4b82f542f964a52069ef30e3",false,"http://www.theheightswashingtondc.com"
"Timothy Dean Restaurant and Bar","https://foursquare.com/v/timothy-dean-restaurant-and-bar/4f32380619836c91c7c1d98b",false,undefined
"Restaurant Association of Metropolitan Washington DC","https://foursquare.com/v/restaurant-association-of-metropolitan-washington-dc/4c8e69244e95236ae8c57bca",false,undefined
"Lincoln","https://foursquare.com/v/lincoln/4d1a56152910236abaa63cbc",false,"http://www.lincolnrestaurant-dc.com"
"Equinox","https://foursquare.com/v/equinox/4a761decf964a52047e21fe3",true,undefined
"Subway","https://foursquare.com/v/subway/4c1bcd70eac020a16e7845c2",false,"http://www.subway.com"
"Siroc","https://foursquare.com/v/siroc/4a5f6a5af964a52088bf1fe3",false,undefined
"Ascot","https://foursquare.com/v/ascot/40b13b00f964a5200df41ee3",false,undefined
"Casa Blanca","https://foursquare.com/v/casa-blanca/4b5df383f964a520a77529e3",false,undefined
"Bravo! Bravo!","https://foursquare.com/v/bravo-bravo/40b13b00f964a52046f71ee3",false,"http://www.bravobravodc.com"
"Subway","https://foursquare.com/v/subway/4af46120f964a520e4f121e3",false,undefined
"Great American Grill","https://foursquare.com/v/great-american-grill/4ae05617f964a520b07e21e3",false,undefined
"Olives - DC","https://foursquare.com/v/olives--dc/4e4e55a3bd4101d0d7a7f34f",false,"http://www.toddenglish.com"
"City Buffet of China","https://foursquare.com/v/city-buffet-of-china/4b4a21fbf964a520c17b26e3",false,"http://chinabuffetpa.com"
"Ghana Cafe","https://foursquare.com/v/ghana-cafe/4b5275c9f964a520467e27e3",false,"http://www.ghanacafe.com"
"Nage - An East Coast Eatery","https://foursquare.com/v/nage--an-east-coast-eatery/49fdd6d1f964a520326f1fe3",false,"http://www.nage.bz"
